approach,fold,run,f1,recall,precision,accuracy,roc_auc,AP,MCC,NDCG,kappa,TN,FP,FN,TP
always pos,1,1.0,0.8082901554404145,1.0,0.6782608695652174,0.6782608695652174,0.5,0.6782608695652174,0.0,0.9067344485994941,0.0,0,74,0,156
always neg,1,,0.0,0.0,0.0,0.3217391304347826,0.5,0.6782608695652174,0.0,0.9067344485994941,0.0,74,0,156,0
always pos,2,1.0,0.8082901554404145,1.0,0.6782608695652174,0.6782608695652174,0.5,0.6782608695652174,0.0,0.9067344485994941,0.0,0,74,0,156
always neg,2,,0.0,0.0,0.0,0.3217391304347826,0.5,0.6782608695652174,0.0,0.9067344485994941,0.0,74,0,156,0
always pos,3,1.0,0.8082901554404145,1.0,0.6782608695652174,0.6782608695652174,0.5,0.6782608695652174,0.0,0.9067344485994941,0.0,0,74,0,156
always neg,3,,0.0,0.0,0.0,0.3217391304347826,0.5,0.6782608695652174,0.0,0.9067344485994941,0.0,74,0,156,0
always pos,4,1.0,0.8082901554404145,1.0,0.6782608695652174,0.6782608695652174,0.5,0.6782608695652174,0.0,0.9067344485994941,0.0,0,74,0,156
always neg,4,,0.0,0.0,0.0,0.3217391304347826,0.5,0.6782608695652174,0.0,0.9067344485994941,0.0,74,0,156,0
always pos,5,1.0,0.8051948051948052,1.0,0.6739130434782609,0.6739130434782609,0.5,0.6739130434782609,0.0,0.9052102918227527,0.0,0,75,0,155
always neg,5,,0.0,0.0,0.0,0.32608695652173914,0.5,0.6739130434782609,0.0,0.9052102918227527,0.0,75,0,155,0
